matricule;classe;credits_capitalized;mpc
12B234;MED7;180;2.42
13B271;MED7;180;2.89
13B052;MED7;180;2.66
16B180;MED7;180;2.95
13B106;MED7;180;2.78
12B035;MED7;180;2.26
13B053;MED7;180;2.89
13B108;MED7;180;2.58
12B242;MED7;180;2.32
13B047;MED7;180;2.99
13B068;MED7;180;2.86
13B153;MED7;180;2.73
13B307;MED7;180;2.83
13B074;MED7;180;2.93
12B045;MED7;180;2.14
13B099;MED7;180;2.67
11B200;MED7;180;2.69
13B072;MED7;180;3.06
12B047;MED7;180;2.32
13B071;MED7;180;2.98
08B127;MED7;180;2.46
13B056;MED7;180;2.5
11B126;MED7;180;2.07
13B010;MED7;180;2.84
12B237;MED7;180;2.5
16B179;MED7;180;2.8
12B292;MED7;160;1.62
13B081;MED7;180;2.53
13B102;MED7;180;2.94
16B178;MED7;180;2.85
16B176;MED7;180;2.92
13B046;MED7;180;2.88
13B282;MED7;180;3.13
13B100;MED7;180;2.62
12B111;MED7;180;2.22
12B062;MED7;180;2.62
12B063;MED7;180;2.31
13B020;MED7;180;2.79
13B059;MED7;180;2.74
11B049;MED7;180;2.37
12B073;MED7;180;2.24
12B217;MED7;180;2.28
13B096;MED7;180;2.74
12B244;MED7;180;2.35
16B168;MED7;180;3.11
13B054;MED7;180;2.81
13B066;MED7;180;2.69
13B073;MED7;180;3.09
16B164;MED7;180;2.96
12B083;MED7;180;2.25
13B012;MED7;180;2.94
13B162;MED7;180;2.78
13B080;MED7;180;3.02
13B263;MED7;180;2.92
