matricule;impaye;encaissement
10B007;;
10B008;;
10B009;;
10B010;;
10B011;;
10B012;375000;
10B013;;
10B014;;
10B015;;
10B016;;
10B017;;
10B018;;
10B019;;
10B020;;
10B021;;
10B022;;
10B023;;
10B024;;
10B025;;
10B026;;
10B027;;
10B028;;
10B029;;
10B030;;
10B031;;
10B032;;
10B033;;
10B034;;
10B035;;
10B036;;
10B037;;
10B038;;
10B039;;
10B040;;
10B041;;
10B042;;
10B043;;
10B044;;
10B045;;
10B046;;
10B047;;
10B048;;
10B049;;
10B050;;
10B051;;
10B052;;
10B053;;
10B054;;
10B055;;
10B056;;
10B057;;
10B058;;
10B059;;
10B060;410000;
10B061;;
10B062;;
10B063;;
10B064;;
10B065;;
10B066;;
10B067;;
10B068;3157500;
10B069;;
10B070;;
10B071;;
10B072;;
10B073;;
10B074;;
10B075;;
10B076;;
10B077;;
10B078;;
10B079;;
10B080;;
10B081;;
10B082;;
10B083;;
10B084;;
10B085;;
10B086;155000;
10B087;;
10B088;;
10B089;;
10B090;935000;
10B091;;
10B092;;
10B093;;
10B094;;
10B095;;
10B096;;
10B097;;
10B098;;
10B099;;
10B100;;
10B101;;
10B102;;
10B103;;
10B104;;
10B105;;
10B106;;
10B107;;
10B108;;
10B109;719500;
10B110;;
10B111;;
10B112;;
10B113;;
10B114;;
10B115;;
10B116;;
10B117;;
10B118;;
10B119;;
10B120;;
10B121;;
10B122;;
10B123;;
10B124;;
10B125;;
10B126;;
10B127;;
10B128;;
10B129;;
10B130;;
10B131;;
10B132;;
10B133;;
10B134;;
10B135;;
10B136;;
10B137;;
10B138;;
10B139;;
10B140;;
10B141;;
10B142;;
10B143;;
10B144;;
10B145;;
10B146;;
10B147;;
10B148;;
10B149;;
10B150;;
10B151;;
10B152;;
10B153;;
10B154;;
10B155;;
10B156;;
10B157;;
10B158;;
10B159;;
10B160;;
10B161;;
10B162;;
10B163;;
10B164;;
10B165;;
10B166;;
10B167;;
10B168;;
10B169;;
10B170;;
10B171;;
10B172;;
10B173;;
10B174;;
10B175;;
10B176;;
10B177;;
10B178;;
10B179;;
10B180;;
10B181;;
10B182;;
10B183;;
10B184;;
10B185;;
10B186;;
10B187;;
10B188;;
10B189;;
10B190;;
10B191;;
10B192;;
10B193;;
10B194;;
10B195;;
10B196;;
10B197;;
10B198;;
10B199;;
10B200;510000;
10B201;;
10B202;;
10B203;1235000;
10B204;;
10B205;;
10B206;;
10B207;;
10B208;;
10B209;;
10B210;;
10B211;;
10B212;;
10B213;;
10B214;;
10B215;;
10B216;;
10B217;;
10B218;1401000;
10B219;;
10B220;;
10B221;;
10B222;;
10B224;;
10B225;;
10B226;;
10B227;;
10B228;;
10B229;;
10B230;;
10B231;;
10B232;;
10B233;;
10B234;;
10B235;;
10B236;622000;
10B237;;
10B238;;
10B239;;
10B240;;
10B241;;
10B242;;
10B243;;
10B244;;
10B245;;
10B246;;
10B247;;
10B248;;
10B249;;
10B250;;
10B251;;
10B252;;
10B253;;
10B254;;
10B255;;
10B256;;
10B257;;
10B258;;
10B259;;
10B260;;
10C001;;
10C002;;
10C003;;
10C004;;
10C005;;
10C006;;
10C007;;
10C008;675000;
10C009;;
10C010;;
10C011;935000;
10C012;;
10C013;;
10C014;;
10C015;;
10C016;;
10C017;;
10C018;;
10C019;;
10C020;;
10C021;;
10C022;;
10C023;;
10C024;;
10C025;;
10C026;;
10C027;;
10C028;;
10C029;;
10C030;;
10C031;;
10C032;;
10C033;;
10C034;;
10C035;;
10C036;;
10C037;;
10C038;;
10C039;;
10C040;;
10C041;;
10C042;;
10C043;895000;
10C044;;
10C045;;
10C046;;
10C047;;
10C048;;
10C049;;
10C050;;
10C051;;
10C052;;
10C053;;
10C054;;
10C055;150000;
11B001;;
11B002;;
11B003;;
11B004;;
11B005;;
11B006;;
11B007;;
11B008;;
11B009;;
11B010;;
11B011;;
11B012;;
11B013;;
11B014;;
11B015;;
11B016;;
11B017;;
11B018;;
11B019;;
11B020;;
11B021;;
11B022;;
11B023;;
11B024;;
11B025;;
11B026;;
11B027;;
11B028;;
11B029;;
11B030;;
11B031;;
11B032;;
11B033;;
11B034;;
11B035;;
11B036;;
11B037;;
11B038;;
11B039;;
11B040;;
11B041;;
11B042;;
11B043;;
11B044;;
11B045;;
11B046;;
11B047;;
11B048;;
11B049;;
11B050;;
11B051;;
11B052;;
11B053;;
11B054;;
11B055;;
11B056;;
11B057;;
11B058;;
11B059;;
11B060;;
11B061;;
11B062;;
11B063;;
11B064;;
11B065;;
11B066;;
11B067;;
11B068;;
11B069;;
11B070;;
11B071;;
11B072;;
11B073;;
11B074;;
11B075;;
11B076;;
11B077;;
11B078;;
11B079;;
11B080;;
11B081;;
11B082;;
11B083;;
11B084;;
11B085;;
11B086;;
11B087;;
11B088;710000;
11B089;;
11B090;;
11B091;;
11B092;;
11B093;;
11B094;;
11B095;;
11B096;;
11B097;;
11B098;;
11B099;;
11B100;;
11B101;;
11B102;;
11B103;;
11B104;;
11B105;;
11B106;;
11B107;;
11B108;;
11B109;;
11B110;;
11B111;;
11B112;;
11B113;;
11B114;;
11B115;;
11B116;;
11B117;;
11B118;;
11B119;;
11B120;;
11B121;;
11B122;;
11B123;;
11B124;;
11B125;;
11B126;;
11B127;1975000;
11B128;;
11B129;;
11B130;;
11B131;;
11B132;;
11B133;;
11B134;;
11B135;;
11B136;;
11B137;;
11B138;;
11B139;;
11B140;;
11B141;;
11B142;;
11B143;;
11B144;;
11B145;;
11B146;;
11B147;;
11B148;;
11B149;;
11B150;;
11B151;;
11B152;;
11B153;;
11B154;;
11B155;;
11B156;;
11B157;;
11B158;;
11B159;;
11B160;;
11B161;;
11B162;;
11B163;;
11B164;;
11B165;;
11B166;;
11B167;;
11B168;;
11B169;;
11B170;;
11B171;;
11B172;;
11B173;350000;
11B174;;
11B175;;
11B176;;
11B177;;
11B178;;
11B179;;
11B180;;
11B181;;
11B182;;
11B183;;
